"brand_id","model_list_id"
(1,1),
(1,2),
(1,3),
(1,4),
(1,5),
(1,6),
(1,7),
(2,8),
(2,9),
(2,10),
(2,11),
(2,12),
(2,13),
(2,14),
(2,15),
(2,16),
(2,17),
(2,18),
(2,19),
(2,20),
(3,21),
(3,22),
(3,23),
(4,24),
(4,25),
(4,26),
(4,27),
(4,28),
(4,29),
(4,30),
(4,31),
(4,32),
(4,33),
(4,34),
(4,35),
(5,36),
(5,37),
(5,38),
(5,39),
(5,40),
(5,41),
(5,42),
(5,43),
(5,44),
(5,45),
(5,46),
(5,47),
(5,48),
(5,49),
(5,50),
(5,51),
(5,52),
(5,53),
(5,54),
(5,55),
(5,56),
(5,57),
(5,58),
(5,59),
(5,60),
(5,61),
(5,62),
(5,63),
(6,64),
(6,65),
(7,66),
(7,67),
(8,68),
(8,69),
(8,70),
(8,71),
(8,72),
(8,73),
(8,74),
(8,75),
(8,76),
(8,77),
(8,78),
(8,79),
(8,80),
(8,81),
(8,82),
(8,83),
(8,84),
(8,85),
(8,86),
(8,87),
(8,88),
(8,89),
(8,90),
(8,91),
(8,92),
(8,93),
(8,94),
(8,95),
(8,96),
(9,97),
(9,98),
(9,99),
(9,100),
(9,101),
(9,102),
(9,103),
(9,104),
(9,105),
(9,106),
(9,107),
(9,108),
(9,109),
(9,110),
(9,111),
(9,112),
(9,113),
(9,114),
(9,115),
(9,116),
(9,117),
(9,118),
(9,119),
(9,120),
(9,121),
(9,122),
(9,123),
(9,124),
(9,125),
(9,126),
(9,127),
(9,128),
(9,129),
(9,130),
(9,131),
(9,132),
(9,133),
(9,134),
(9,135),
(9,136),
(9,137),
(9,138),
(9,139),
(9,140),
(9,141),
(9,142),
(9,143),
(9,144),
(9,145),
(9,146),
(9,147),
(9,148),
(9,149),
(9,150),
(9,151),
(10,152),
(10,153),
(10,154),
(10,155),
(10,156),
(10,157),
(10,158),
(10,159),
(11,160),
(11,161),
(11,162),
(11,163),
(11,164),
(11,165),
(11,166),
(11,167),
(11,168),
(12,169),
(12,170),
(12,171),
(12,172),
(12,173),
(12,174),
(12,175),
(12,176),
(12,177),
(12,178),
(12,179),
(12,180),
(13,181),
(13,182),
(13,183),
(13,184),
(13,185),
(13,186),
(13,187),
(13,188),
(13,189),
(13,190),
(13,191),
(13,192),
(13,193),
(13,194),
(13,195),
(13,196),
(13,197),
(13,198),
(13,199),
(13,200),
(13,201),
(13,202),
(13,203),
(13,204),
(13,205),
(13,206),
(13,207),
(13,208),
(13,209),
(13,210),
(13,211),
(13,212),
(13,213),
(13,214),
(13,215),
(13,216),
(13,217),
(13,218),
(13,219),
(13,220),
(13,221),
(13,222),
(13,223),
(13,224),
(14,225),
(14,226),
(14,227),
(14,228),
(14,229),
(14,230),
(14,231),
(14,232),
(14,233),
(14,234),
(14,235),
(14,236),
(14,237),
(14,238),
(14,239),
(14,240),
(14,241),
(15,242),
(15,243),
(15,244),
(15,245),
(15,246),
(15,247),
(15,248),
(15,249),
(15,250),
(15,251),
(15,252),
(15,253),
(15,254),
(15,255),
(15,256),
(15,257),
(15,258),
(16,259),
(16,260),
(16,261),
(16,262),
(16,263),
(16,264),
(16,265),
(16,266),
(16,267),
(16,268),
(17,269),
(17,270),
(17,271),
(17,272),
(17,273),
(17,274),
(17,275),
(17,276),
(17,277),
(17,278),
(17,279),
(17,280),
(17,281),
(17,282),
(17,283),
(17,284),
(17,285),
(17,286),
(17,287),
(17,288),
(17,289),
(17,290),
(17,291),
(17,292),
(17,293),
(17,294),
(18,295),
(18,296),
(18,297),
(18,298),
(18,299),
(18,300),
(18,301),
(18,302),
(18,303),
(19,304),
(19,305),
(20,306),
(20,307),
(20,308),
(20,309),
(20,310),
(20,311),
(20,312),
(20,313),
(20,314),
(20,315),
(20,316),
(21,317),
(21,318),
(21,319),
(21,320),
(21,321),
(21,322),
(21,323),
(21,324),
(21,325),
(21,326),
(21,327),
(21,328),
(21,329),
(21,330),
(21,331),
(21,332),
(21,333),
(21,334),
(21,335),
(21,336),
(21,337),
(21,338),
(21,339),
(21,340),
(21,341),
(21,342),
(21,343),
(21,344),
(21,345),
(21,346),
(21,347),
(21,348),
(21,349),
(21,350),
(21,351),
(21,352),
(21,353),
(21,354),
(21,355),
(21,356),
(21,357),
(21,358),
(21,359),
(21,360),
(21,361),
(21,362),
(21,363),
(21,364),
(21,365),
(21,366),
(21,367),
(21,368),
(21,369),
(21,370),
(21,371),
(21,372),
(21,373),
(21,374),
(21,375),
(21,376),
(21,377),
(21,378),
(21,379),
(21,380),
(22,381),
(22,382),
(22,383),
(22,384),
(22,385),
(22,386),
(22,387),
(22,388),
(22,389),
(22,390),
(22,391),
(22,392),
(22,393),
(22,394),
(22,395),
(22,396),
(22,397),
(22,398),
(22,399),
(22,400),
(22,401),
(22,402),
(22,403),
(22,404),
(22,405),
(22,406),
(22,407),
(22,408),
(22,409),
(22,410),
(23,411),
(23,412),
(23,413),
(23,414),
(23,415),
(23,416),
(24,417),
(24,418),
(24,419),
(24,420),
(24,421),
(24,422),
(24,423),
(24,424),
(24,425),
(24,426),
(24,427),
(24,428),
(24,429),
(24,430),
(24,431),
(24,432),
(24,433),
(24,434),
(24,435),
(25,436),
(25,437),
(25,438),
(25,439),
(25,440),
(25,441),
(25,442),
(25,443),
(25,444),
(25,445),
(25,446),
(25,447),
(25,448),
(25,449),
(25,450),
(25,451),
(25,452),
(25,453),
(26,454),
(26,455),
(26,456),
(26,457),
(26,458),
(26,459),
(26,460),
(26,461),
(26,462),
(26,463),
(26,464),
(26,465),
(26,466),
(26,467),
(26,468),
(26,469),
(26,470),
(26,471),
(26,472),
(27,473),
(27,474),
(28,475),
(28,476),
(28,477),
(28,478),
(28,479),
(28,480),
(28,481),
(28,482),
(28,483),
(28,484),
(28,485),
(28,486),
(29,487),
(30,488),
(30,489),
(30,490),
(30,491),
(30,492),
(30,493),
(30,494),
(30,495),
(30,496),
(30,497),
(30,498),
(30,499),
(30,500),
(30,501),
(30,502),
(30,503),
(30,504),
(30,505),
(30,506),
(30,507),
(30,508),
(30,509),
(30,510),
(30,511),
(30,512),
(30,513),
(31,514),
(31,515),
(32,516),
(32,517),
(32,518),
(32,519),
(32,520),
(32,521),
(32,522),
(32,523),
(33,524),
(33,525),
(33,526),
(33,527),
(33,528),
(33,529),
(33,530),
(33,531),
(33,532),
(33,533),
(33,534),
(33,535),
(33,536),
(33,537),
(33,538),
(33,539),
(33,540),
(33,541),
(33,542),
(33,543),
(33,544),
(33,545),
(33,546),
(33,547),
(33,548),
(33,549),
(33,550),
(33,551),
(33,552),
(33,553),
(33,554),
(33,555),
(33,556),
(33,557),
(33,558),
(33,559),
(33,560),
(33,561),
(33,562),
(33,563),
(33,564),
(33,565),
(33,566),
(33,567),
(33,568),
(33,569),
(33,570),
(33,571),
(33,572),
(34,573),
(34,574),
(34,575),
(34,576),
(34,577),
(34,578),
(34,579),
(34,580),
(34,581),
(34,582),
(34,583),
(34,584),
(34,585),
(34,586),
(34,587),
(34,588),
(34,589),
(34,590),
(34,591),
(34,592),
(34,593),
(34,594),
(34,595),
(34,596),
(34,597),
(34,598),
(34,599),
(34,600),
(34,601),
(34,602),
(34,603),
(34,604),
(34,605),
(34,606),
(34,607),
(34,608),
(34,609),
(34,610),
(34,611),
(34,612),
(34,613),
(34,614),
(34,615),
(34,616),
(34,617),
(34,618),
(34,619),
(34,620),
(34,621),
(34,622),
(34,623),
(34,624),
(34,625),
(34,626),
(35,627),
(35,628),
(35,629),
(35,630),
(35,631),
(35,632),
(35,633),
(35,634),
(35,635),
(35,636),
(35,637),
(35,638),
(35,639),
(35,640),
(35,641),
(35,642),
(35,643),
(35,644),
(35,645),
(35,646),
(35,647),
(35,648),
(35,649),
(35,650),
(35,651),
(35,652),
(35,653),
(35,654),
(35,655),
(35,656),
(35,657),
(35,658),
(35,659),
(35,660),
(35,661),
(35,662),
(35,663),
(35,664),
(35,665),
(35,666),
(35,667),
(35,668),
(35,669),
(35,670),
(35,671),
(35,672),
(35,673),
(35,674),
(35,675),
(35,676),
(35,677),
(35,678),
(35,679),
(35,680),
(35,681),
(35,682),
(35,683),
(35,684),
(35,685),
(35,686),
(35,687),
(35,688),
(35,689),
(35,690),
(35,691),
(35,692),
(35,693),
(35,694),
(35,695),
(36,696),
(36,697),
(36,698),
(37,699),
(37,700),
(37,701),
(37,702),
(37,703),
(37,704),
(37,705),
(37,706),
(37,707),
(37,708),
(38,709),
(38,710),
(38,711),
(38,712),
(38,713),
(38,714),
(38,715),
(38,716),
(38,717),
(39,718),
(39,719),
(39,720),
(39,721),
(39,722),
(39,723),
(39,724),
(39,725),
(39,726),
(39,727),
(39,728),
(39,729),
(40,730),
(40,731),
(40,732),
(40,733),
(40,734),
(40,735),
(40,736),
(41,737),
(41,738),
(41,739),
(41,740),
(41,741),
(41,742),
(41,743),
(41,744),
(41,745),
(41,746),
(41,747),
(41,748),
(41,749),
(41,750),
(41,751),
(41,752),
(41,753),
(41,754),
(41,755),
(41,756),
(41,757),
(41,758),
(41,759),
(41,760),
(41,761),
(41,762),
(41,763),
(41,764),
(41,765),
(41,766),
(42,767),
(42,768),
(42,769),
(42,770),
(42,771),
(42,772),
(42,773),
(43,774),
(43,775),
(43,776),
(43,777),
(44,778),
(44,779),
(44,780),
(44,781),
(44,782),
(44,783),
(44,784),
(44,785),
(44,786),
(44,787),
(44,788),
(44,789),
(44,790),
(44,791),
(44,792),
(44,793),
(44,794),
(44,795),
(44,796),
(44,797),
(44,798),
(44,799),
(44,800),
(44,801),
(44,802),
(44,803),
(44,804),
(44,805),
(44,806),
(44,807),
(44,808),
(44,809),
(44,810),
(44,811),
(44,812),
(44,813),
(44,814),
(44,815),
(44,816),
(44,817),
(44,818),
(44,819),
(44,820),
(44,821),
(44,822),
(44,823),
(44,824),
(44,825),
(44,826),
(45,827),
(45,828),
(45,829),
(46,830),
(46,831),
(46,832),
(46,833),
(46,834),
(46,835),
(46,836),
(47,837),
(47,838),
(47,839),
(48,840),
(48,841),
(48,842),
(48,843),
(48,844),
(48,845),
(48,846),
(48,847),
(48,848),
(48,849),
(48,850),
(48,851),
(48,852),
(48,853),
(48,854),
(48,855),
(48,856),
(49,857),
(49,858),
(49,859),
(49,860),
(49,861),
(49,862),
(49,863),
(49,864),
(49,865),
(49,866),
(49,867),
(49,868),
(49,869),
(49,870),
(49,871),
(50,872),
(50,873),
(50,874),
(50,875),
(50,876),
(50,877),
(50,878),
(50,879),
(50,880),
(50,881),
(50,882),
(50,883),
(50,884),
(50,885),
(50,886),
(50,887),
(50,888),
(50,889),
(50,890),
(50,891),
(50,892),
(50,893),
(50,894),
(50,895),
(50,896),
(50,897),
(50,898),
(50,899),
(50,900),
(50,901),
(50,902),
(50,903),
(50,904),
(50,905),
(50,906),
(50,907),
(50,908),
(50,909),
(51,910),
(51,911),
(52,912),
(52,913),
(52,914),
(52,915),
(52,916),
(52,917),
(52,918),
(52,919),
(52,920),
(52,921),
(52,922),
(52,923),
(52,924),
(52,925),
(52,926),
(52,927),
(52,928),
(52,929),
(52,930),
(52,931),
(52,932),
(52,933),
(52,934),
(52,935),
(52,936),
(52,937),
(52,938),
(52,939),
(52,940),
(52,941),
(53,942),
(53,943),
(53,944),
(53,945),
(53,946),
(53,947),
(53,948),
(53,949),
(53,950),
(53,951),
(53,952),
(53,953),
(53,954),
(54,955),
(54,956),
(54,957),
(54,958),
(54,959),
(54,960),
(54,961),
(54,962),
(54,963),
(54,964),
(54,965),
(54,966),
(54,967),
(54,968),
(54,969),
(54,970),
(54,971),
(54,972),
(55,973),
(55,974),
(55,975),
(55,976),
(55,977),
(55,978),
(55,979),
(55,980),
(55,981),
(55,982),
(55,983),
(55,984),
(55,985),
(55,986),
(55,987),
(55,988),
(55,989),
(55,990),
(55,991),
(56,992),
(56,993),
(56,994),
(56,995),
(56,996),
(56,997),
(56,998),
(56,999),
(56,1000),
(56,1001),
(56,1002),
(56,1003),
(56,1004),
(56,1005),
(56,1006),
(56,1007),
(56,1008),
(56,1009),
(57,1010),
(57,1011),
(57,1012),
(57,1013),
(57,1014),
(57,1015),
(57,1016),
(57,1017),
(57,1018),
(57,1019),
(58,1020),
(58,1021),
(58,1022),
(58,1023),
(58,1024),
(58,1025),
(58,1026),
(58,1027),
(58,1028),
(58,1029),
(58,1030),
(58,1031),
(58,1032),
(59,1033),
(59,1034),
(60,1035),
(60,1036),
(60,1037),
(60,1038),
(60,1039),
(60,1040),
(60,1041),
(60,1042),
(60,1043),
(60,1044),
(60,1045),
(60,1046),
(60,1047),
(60,1048),
(60,1049),
(60,1050),
(60,1051),
(61,1052),
(61,1053),
(61,1054),
(61,1055),
(61,1056),
(62,1057),
(62,1058),
(62,1059),
(63,1060),
(63,1061),
(63,1062),
(63,1063),
(63,1064),
(63,1065),
(63,1066),
(63,1067),
(63,1068),
(63,1069),
(63,1070),
(63,1071),
(63,1072),
(63,1073),
(63,1074),
(63,1075),
(63,1076),
(63,1077),
(63,1078),
(63,1079),
(63,1080),
(63,1081),
(63,1082),
(63,1083),
(63,1084),
(63,1085),
(63,1086),
(63,1087),
(63,1088),
(63,1089),
(63,1090),
(63,1091),
(63,1092),
(63,1093),
(64,1094),
(64,1095),
(64,1096),
(64,1097),
(64,1098),
(64,1099),
(64,1100),
(64,1101),
(64,1102),
(64,1103),
(64,1104),
(64,1105),
(64,1106),
(64,1107),
(65,1108),
(65,1109),
(65,1110),
(65,1111),
(65,1112),
(65,1113),
(65,1114),
(65,1115),
(65,1116),
(65,1117),
(65,1118),
(65,1119),
(65,1120),
(65,1121),
(65,1122),
(65,1123),
(65,1124),
(65,1125),
(65,1126),
(65,1127),
(65,1128),
(65,1129),
(65,1130),
(65,1131),
(65,1132),
(65,1133),
(65,1134),
(65,1135),
(65,1136),
(65,1137),
(65,1138),
(65,1139),
(65,1140),
(65,1141),
(65,1142),
(65,1143),
(65,1144),
(65,1145),
(65,1146),
(65,1147),
(65,1148),
(65,1149),
(65,1150),
(65,1151),
(65,1152),
(65,1153),
(65,1154),
(65,1155),
(65,1156),
(65,1157),
(66,1158),
(66,1159),
(66,1160),
(66,1161),
(66,1162),
(66,1163),
(66,1164),
(66,1165),
(66,1166),
(66,1167),
(66,1168),
(66,1169),
(66,1170),
(66,1171),
(67,1172),
(67,1173),
(67,1174),
(67,1175),
(67,1176),
(67,1177),
(67,1178),
(67,1179),
(67,1180),
(67,1181),
(67,1182),
(67,1183),
(68,1184),
(68,1185),
(68,1186),
(68,1187),
(68,1188),
(68,1189),
(68,1190),
(68,1191),
(68,1192),
(68,1193),
(68,1194),
(69,1195),
(69,1196),
(69,1197),
(69,1198),
(69,1199),
(69,1200),
(69,1201),
(69,1202),
(69,1203),
(69,1204),
(70,1205),
(70,1206),
(70,1207),
(70,1208),
(70,1209),
(70,1210),
(70,1211),
(70,1212),
(70,1213),
(70,1214),
(70,1215),
(70,1216),
(70,1217),
(70,1218),
(70,1219),
(70,1220),
(70,1221),
(70,1222),
(70,1223),
(70,1224),
(70,1225),
(70,1226),
(70,1227),
(70,1228),
(70,1229),
(70,1230),
(70,1231),
(70,1232),
(70,1233),
(70,1234),
(70,1235),
(70,1236),
(70,1237),
(70,1238),
(70,1239),
(71,1240),
(71,1241),
(71,1242),
(71,1243),
(72,1244),
(72,1245),
(72,1246),
(72,1247),
(72,1248),
(72,1249),
(72,1250),
(72,1251),
(72,1252),
(72,1253),
(72,1254),
(72,1255),
(72,1256),
(72,1257),
(72,1258),
(72,1259),
(72,1260),
(72,1261),
(72,1262),
(72,1263),
(72,1264),
(72,1265),
(72,1266),
(72,1267),
(72,1268),
(72,1269),
(72,1270),
(72,1271),
(72,1272),
(72,1273),
(72,1274),
(72,1275),
(72,1276),
(72,1277),
(72,1278),
(72,1279),
(72,1280),
(72,1281),
(72,1282),
(72,1283),
(72,1284),
(72,1285),
(72,1286),
(72,1287),
(72,1288),
(72,1289),
(72,1290),
(72,1291),
(72,1292),
(72,1293),
(72,1294),
(72,1295),
(72,1296),
(72,1297),
(72,1298),
(72,1299),
(72,1300),
(72,1301),
(72,1302),
(72,1303),
(73,1304),
(73,1305),
(73,1306),
(74,1307),
(74,1308),
(74,1309),
(74,1310),
(74,1311),
(74,1312),
(74,1313),
(74,1314),
(74,1315),
(74,1316),
(74,1317),
(74,1318),
(74,1319),
(75,1320),
(75,1321),
(75,1322),
(75,1323),
(75,1324),
(75,1325),
(75,1326),
(75,1327),
(75,1328),
(75,1329),
(75,1330),
(75,1331),
(75,1332),
(75,1333),
(75,1334),
(75,1335),
(75,1336),
(75,1337),
(75,1338),
(75,1339),
(75,1340),
(75,1341),
(75,1342),
(75,1343),
(75,1344),
(75,1345),
(75,1346),
(75,1347),
(75,1348),
(75,1349),
(75,1350),
(75,1351),
(75,1352),
(75,1353),
(75,1354),
(75,1355),
(75,1356),
(75,1357),
(75,1358),
(75,1359),
(75,1360),
(75,1361),
(76,1362),
(76,1363),
(76,1364),
(76,1365),
(76,1366),
(76,1367),
(76,1368),
(76,1369),
(76,1370),
(76,1371),
(76,1372),
(76,1373),
(76,1374),
(76,1375),
(76,1376),
(76,1377),
(76,1378),
(76,1379),
(76,1380),
(76,1381),
(76,1382),
(76,1383),
(76,1384),
(76,1385),
(76,1386),
(76,1387),
(76,1388),
(76,1389),
(76,1390),
(76,1391),
(76,1392),
(76,1393),
(76,1394),
(76,1395),
(76,1396),
(76,1397),
(76,1398),
(76,1399),
(76,1400),
(76,1401),
(76,1402),
(76,1403),
(76,1404),
(76,1405),
(76,1406),
(76,1407),
(76,1408),
(76,1409),
(76,1410),
(76,1411),
(77,1412),
(77,1413),
(77,1414),
(77,1415),
(77,1416),
(77,1417),
(77,1418),
(77,1419),
(77,1420),
(77,1421),
(77,1422),
(77,1423),
(77,1424),
(77,1425),
(77,1426),
(77,1427),
(77,1428),
(78,1429),
(78,1430),
(78,1431),
(78,1432),
(79,1433),
(79,1434),
(79,1435),
(79,1436),
(79,1437),
(80,1438),
(80,1439),
(80,1440),
(80,1441),
(80,1442),
(80,1443),
(80,1444),
(80,1445),
(80,1446),
(80,1447),
(80,1448),
(80,1449),
(80,1450),
(80,1451),
(80,1452),
(80,1453),
(80,1454),
(80,1455),
(80,1456),
(80,1457),
(81,1458),
(81,1459),
(81,1460),
(81,1461),
(81,1462),
(81,1463),
(81,1464),
(81,1465),
(81,1466),
(81,1467),
(81,1468),
(81,1469),
(81,1470),
(81,1471),
(81,1472),
(81,1473),
(81,1474),
(81,1475),
(81,1476),
(81,1477),
(81,1478),
(82,1479),
(82,1480),
(82,1481),
(82,1482),
(83,1483),
(83,1484),
(83,1485),
(83,1486),
(83,1487),
(83,1488),
(83,1489),
(83,1490),
(83,1491),
(83,1492),
(83,1493),
(83,1494),
(83,1495),
(83,1496),
(83,1497),
(83,1498),
(83,1499),
(83,1500),
(83,1501),
(83,1502),
(83,1503),
(83,1504),
(83,1505),
(83,1506),
(83,1507),
(83,1508),
(83,1509),
(83,1510),
(83,1511),
(83,1512),
(83,1513),
(83,1514),
(83,1515),
(83,1516),
(83,1517),
(83,1518),
(83,1519),
(83,1520),
(83,1521),
(83,1522),
(83,1523),
(83,1524),
(83,1525),
(83,1526),
(83,1527),
(83,1528),
(83,1529),
(83,1530),
(83,1531),
(83,1532),
(83,1533),
(83,1534),
(84,1535),
(84,1536),
(84,1537),
(84,1538),
(84,1539),
(84,1540),
(84,1541),
(84,1542),
(84,1543),
(84,1544),
(84,1545),
(84,1546),
(84,1547),
(84,1548),
(84,1549),
(84,1550),
(85,1551),
(85,1552),
(85,1553),
(85,1554),
(85,1555),
(85,1556),
(85,1557),
(85,1558),
(85,1559),
(85,1560),
(85,1561),
(85,1562),
(85,1563),
(85,1564),
(85,1565),
(85,1566),
(85,1567),
(85,1568),
(85,1569),
(85,1570),
(85,1571),
(85,1572),
(85,1573),
(85,1574),
(85,1575),
(85,1576),
(85,1577),
(85,1578),
(85,1579),
(85,1580),
(85,1581),
(85,1582),
(85,1583),
(85,1584),
(86,1585),
(86,1586),
(86,1587),
(86,1588),
(86,1589),
(86,1590),
(86,1591),
(86,1592),
(86,1593),
(86,1594),
(86,1595),
(87,1596),
(87,1597),
(87,1598),
(87,1599),
(87,1600),
(87,1601),
(87,1602),
(87,1603),
(87,1604),
(87,1605),
(87,1606),
(87,1607),
(87,1608),
(87,1609),
(87,1610),
(87,1611),
(87,1612),
(87,1613),
(87,1614),
(88,1615),
(88,1616),
(88,1617),
(89,1618),
(89,1619),
(89,1620),
(89,1621),
(89,1622),
(89,1623),
(89,1624),
(89,1625),
(89,1626),
(89,1627),
(89,1628),
(89,1629),
(89,1630),
(89,1631),
(89,1632),
(89,1633),
(89,1634),
(89,1635),
(89,1636),
(89,1637),
(89,1638),
(89,1639),
(90,1640),
(90,1641),
(90,1642),
(90,1643),
(90,1644),
(90,1645),
(91,1646),
(91,1647),
(91,1648),
(91,1649),
(91,1650),
(91,1651),
(91,1652),
(91,1653),
(91,1654),
(91,1655),
(91,1656),
(91,1657),
(92,1658),
(92,1659),
(92,1660),
(92,1661),
(92,1662),
(92,1663),
(92,1664),
(92,1665),
(92,1666),
(92,1667),
(92,1668),
(92,1669),
(92,1670),
(92,1671),
(92,1672),
(92,1673),
(92,1674),
(92,1675),
(92,1676),
(92,1677),
(92,1678),
(92,1679),
(93,1680),
(93,1681),
(93,1682),
(93,1683),
(93,1684),
(93,1685),
(93,1686),
(93,1687),
(93,1688),
(93,1689),
(93,1690),
(93,1691),
(93,1692),
(93,1693),
(93,1694),
(93,1695),
(93,1696),
(93,1697),
(93,1698),
(93,1699),
(93,1700),
(93,1701),
(93,1702),
(93,1703),
(93,1704),
(93,1705),
(94,1706),
(94,1707),
(94,1708),
(94,1709),
(94,1710),
(94,1711),
(94,1712),
(94,1713),
(95,1714),
(95,1715),
(95,1716),
(95,1717),
(95,1718),
(95,1719),
(96,1720),
(96,1721),
(96,1722),
(96,1723),
(96,1724),
(96,1725),
(97,1726),
(97,1727),
(97,1728),
(97,1729),
(97,1730),
(97,1731),
(97,1732),
(97,1733),
(97,1734),
(97,1735),
(97,1736),
(97,1737),
(97,1738),
(97,1739),
(97,1740),
(97,1741),
(97,1742),
(97,1743),
(97,1744),
(97,1745),
(97,1746),
(97,1747),
(97,1748),
(97,1749),
(97,1750),
(97,1751),
(97,1752),
(97,1753),
(97,1754),
(97,1755),
(97,1756),
(97,1757),
(97,1758),
(97,1759),
(97,1760),
(97,1761),
(97,1762),
(97,1763),
(97,1764),
(97,1765),
(97,1766),
(97,1767),
(97,1768),
(97,1769),
(97,1770),
(97,1771),
(97,1772),
(97,1773),
(97,1774),
(97,1775),
(97,1776),
(97,1777),
(97,1778),
(97,1779),
(97,1780),
(97,1781),
(98,1782),
(98,1783),
(98,1784),
(99,1785),
(99,1786),
(99,1787),
(99,1788),
(99,1789),
(99,1790),
(99,1791),
(99,1792),
(99,1793),
(99,1794),
(100,1795),
(100,1796),
(100,1797),
(100,1798),
(100,1799),
(101,1800),
(101,1801),
(101,1802),
(101,1803),
(101,1804),
(101,1805),
(102,1806),
(102,1807),
(102,1808),
(102,1809),
(102,1810),
(102,1811),
(102,1812),
(102,1813),
(102,1814),
(102,1815),
(102,1816),
(102,1817),
(102,1818),
(102,1819),
(102,1820),
(102,1821),
(102,1822),
(102,1823),
(102,1824),
(102,1825),
(102,1826),
(102,1827),
(102,1828),
(102,1829),
(102,1830),
(102,1831),
(102,1832),
(102,1833),
(102,1834),
(102,1835),
(102,1836),
(102,1837),
(102,1838),
(102,1839),
(102,1840),
(102,1841),
(102,1842),
(102,1843),
(102,1844),
(102,1845),
(102,1846),
(102,1847),
(102,1848),
(102,1849),
(102,1850),
(102,1851),
(102,1852),
(102,1853),
(102,1854),
(102,1855),
(102,1856),
(102,1857),
(102,1858),
(103,1859),
(103,1860),
(103,1861),
(103,1862),
(103,1863),
(103,1864),
(103,1865),
(103,1866),
(103,1867),
(103,1868),
(103,1869),
(103,1870),
(103,1871),
(103,1872),
(103,1873),
(103,1874),
(103,1875),
(103,1876),
(103,1877),
(103,1878),
(103,1879),
(103,1880),
(103,1881),
(103,1882),
(103,1883),
(103,1884),
(103,1885),
(103,1886),
(103,1887),
(103,1888),
(103,1889),
(103,1890),
(103,1891),
(103,1892),
(103,1893),
(103,1894),
(103,1895),
(103,1896),
(103,1897),
(103,1898),
(104,1899),
(104,1900),
(104,1901),
(104,1902),
(104,1903),
(104,1904),
(104,1905),
(105,1906),
(105,1907),
(105,1908),
(105,1909),
(105,1910),
(105,1911),
(106,1912),
(106,1913),
(106,1914),
(106,1915),
(107,1916),
(107,1917),
(107,1918),
(108,1919);
